fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score,82,-0.03183200357376849,0.776488710858259,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,NA_score_log,82,-0.1549444103990957,0.1645436461125759,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGP,130,0.07358955963907342,0.4053664163827487,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN,130,-0.06104644611340994,0.4902205939574448,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,C5SPGN_log,130,-0.08825028396891205,0.3180662713669742,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,PA_score,82,0.06790508620906288,0.5444038559712083,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score,82,0.05111821510382018,0.6483272942263706,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.07708240747675724,0.49125115730464325,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGP,130,-0.08609129978370639,0.3300957247235779,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.08812991057048811,0.31872940187023563,sensitivity
l_amyg_safety_vs_threat_neg_vs_neu,neu,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.071718163902803,0.41744600721380526,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,PA_score,82,0.15686708711361258,0.15930450322469328,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score,82,-0.1356883219817342,0.22418401309942568,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.0032245570925337613,0.9770628587097115,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGP,130,-0.06873324988784148,0.4371409305988418,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.022175001258671143,0.802260406989592,sensitivity
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.02217933531496359,0.802222551278519,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,PA_score,82,0.08588041302127994,0.44298626013637266,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score,82,0.012901825531693514,0.9084116863176411,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.07717497356602562,0.4907293374041476,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGP,130,0.08864497048620673,0.31589823598870004,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.006414747511745478,0.9422567492919597,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.011193289703436485,0.899419668770095,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,PA_score,82,-0.10027464172024245,0.3700671690336789,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score,82,0.16863330923773573,0.12990793321968847,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score_log,82,0.2733136362620673,0.012974631241617176,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGP,130,0.006519194449522141,0.9413182191580327,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN,130,0.07749675823396611,0.3808213259076371,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,130,0.11411030801626215,0.19610834294308693,sensitivity
